#?RADIANCE
dctimestep matrices/tutorial_room_5pm_sensors_blinds_20deg_BSDF.dsmx weather/NY_cie_sun_03211000_direct_sun.skyvec
CAPDATE= 2019:08:16 12:02:31
GMT= 2019:08:16 10:02:31
NROWS=135
NCOLS=1
NCOMP=3
FORMAT=ascii

2.904834e-02 2.904834e-02 2.904834e-02
3.035199e-02 3.035198e-02 3.035198e-02
3.274962e-02 3.274962e-02 3.274962e-02
5.665537e-02 5.665536e-02 5.665537e-02
7.267508e-02 7.267508e-02 7.267508e-02
9.244282e-02 9.244282e-02 9.244282e-02
1.077604e-01 1.077604e-01 1.077604e-01
1.490556e-01 1.490556e-01 1.490556e-01
1.857964e-01 1.857963e-01 1.857964e-01
2.501806e-01 2.501806e-01 2.501806e-01
3.204297e-01 3.204297e-01 3.204297e-01
4.573509e-01 4.573508e-01 4.573508e-01
6.646462e-01 6.646462e-01 6.646462e-01
9.536665e-01 9.536665e-01 9.536665e-01
1.600381e+00 1.600381e+00 1.600381e+00
2.629456e-02 2.629455e-02 2.629455e-02
4.709981e-02 4.709981e-02 4.709981e-02
5.580083e-02 5.580083e-02 5.580083e-02
7.014427e-02 7.014427e-02 7.014427e-02
7.747606e-02 7.747606e-02 7.747606e-02
9.335299e-02 9.335299e-02 9.335299e-02
1.287463e-01 1.287463e-01 1.287463e-01
1.605688e-01 1.605688e-01 1.605688e-01
2.111640e-01 2.111640e-01 2.111640e-01
2.689654e-01 2.689654e-01 2.689654e-01
3.661400e-01 3.661400e-01 3.661400e-01
5.074604e-01 5.074604e-01 5.074604e-01
7.206193e-01 7.206193e-01 7.206193e-01
1.135783e+00 1.135783e+00 1.135783e+00
1.980257e+00 1.980257e+00 1.980257e+00
2.935434e-02 2.935433e-02 2.935434e-02
3.515885e-02 3.515884e-02 3.515884e-02
4.450443e-02 4.450443e-02 4.450443e-02
5.847819e-02 5.847818e-02 5.847818e-02
7.756981e-02 7.756981e-02 7.756981e-02
1.091263e-01 1.091263e-01 1.091263e-01
1.295129e-01 1.295129e-01 1.295129e-01
1.745113e-01 1.745113e-01 1.745113e-01
2.226187e-01 2.226186e-01 2.226187e-01
3.031135e-01 3.031135e-01 3.031135e-01
4.176398e-01 4.176397e-01 4.176397e-01
5.640408e-01 5.640408e-01 5.640408e-01
7.194438e-01 7.194438e-01 7.194438e-01
1.199238e+00 1.199238e+00 1.199238e+00
2.162518e+00 2.162518e+00 2.162518e+00
3.304943e-02 3.304942e-02 3.304942e-02
3.495364e-02 3.495363e-02 3.495364e-02
4.289886e-02 4.289886e-02 4.289886e-02
6.596597e-02 6.596597e-02 6.596597e-02
7.188922e-02 7.188922e-02 7.188922e-02
1.073739e-01 1.073738e-01 1.073738e-01
1.340797e-01 1.340796e-01 1.340797e-01
1.777406e-01 1.777406e-01 1.777406e-01
2.471361e-01 2.471361e-01 2.471361e-01
3.236188e-01 3.236188e-01 3.236188e-01
4.496667e-01 4.496667e-01 4.496667e-01
6.076707e-01 6.076707e-01 6.076707e-01
7.791477e-01 7.791470e-01 7.791470e-01
1.031162e+00 1.031162e+00 1.031162e+00
2.222756e+00 2.222756e+00 2.222756e+00
3.226474e-02 3.226474e-02 3.226474e-02
4.305596e-02 4.305596e-02 4.305596e-02
5.401080e-02 5.401079e-02 5.401080e-02
6.001346e-02 6.001345e-02 6.001345e-02
8.476555e-02 8.476555e-02 8.476555e-02
1.049711e-01 1.049711e-01 1.049711e-01
1.361066e-01 1.361066e-01 1.361066e-01
1.771127e-01 1.771127e-01 1.771127e-01
2.376520e-01 2.376520e-01 2.376520e-01
3.258541e-01 3.258540e-01 3.258541e-01
4.347478e-01 4.347477e-01 4.347477e-01
5.819137e-01 5.819137e-01 5.819137e-01
7.599366e-01 7.599366e-01 7.599366e-01
1.407557e+00 1.407557e+00 1.407557e+00
2.249963e+00 2.249963e+00 2.249962e+00
3.144989e-02 3.144989e-02 3.144989e-02
3.260985e-02 3.260985e-02 3.260985e-02
4.516594e-02 4.516593e-02 4.516594e-02
5.996215e-02 5.996214e-02 5.996215e-02
8.959431e-02 8.959431e-02 8.959431e-02
1.044989e-01 1.044989e-01 1.044989e-01
1.359310e-01 1.359310e-01 1.359310e-01
1.892537e-01 1.892536e-01 1.892536e-01
2.283132e-01 2.283132e-01 2.283132e-01
3.250384e-01 3.250384e-01 3.250384e-01
4.430186e-01 4.430185e-01 4.430186e-01
6.167047e-01 6.167047e-01 6.167047e-01
7.984271e-01 7.984271e-01 7.984271e-01
1.079793e+00 1.079792e+00 1.079792e+00
2.226345e+00 2.226345e+00 2.226345e+00
3.240886e-02 3.240885e-02 3.240885e-02
2.885961e-02 2.885961e-02 2.885961e-02
4.804229e-02 4.804229e-02 4.804229e-02
6.480171e-02 6.480170e-02 6.480170e-02
8.788058e-02 8.788052e-02 8.788052e-02
1.033752e-01 1.033752e-01 1.033752e-01
1.363735e-01 1.363735e-01 1.363735e-01
1.686775e-01 1.686775e-01 1.686775e-01
2.334562e-01 2.334562e-01 2.334562e-01
3.122297e-01 3.122297e-01 3.122297e-01
4.186506e-01 4.186505e-01 4.186506e-01
5.866276e-01 5.866275e-01 5.866275e-01
7.297250e-01 7.297250e-01 7.297250e-01
1.224454e+00 1.224454e+00 1.224454e+00
2.147435e+00 2.147435e+00 2.147435e+00
2.986237e-02 2.986237e-02 2.986237e-02
4.081677e-02 4.081677e-02 4.081677e-02
4.952581e-02 4.952580e-02 4.952580e-02
7.083419e-02 7.083419e-02 7.083419e-02
8.103444e-02 8.103444e-02 8.103444e-02
1.051797e-01 1.051797e-01 1.051797e-01
1.256335e-01 1.256335e-01 1.256335e-01
1.597773e-01 1.597773e-01 1.597773e-01
2.202093e-01 2.202092e-01 2.202093e-01
2.916553e-01 2.916553e-01 2.916553e-01
4.038300e-01 4.038299e-01 4.038299e-01
5.478745e-01 5.478745e-01 5.478745e-01
7.693340e-01 7.693340e-01 7.693340e-01
1.144719e+00 1.144719e+00 1.144719e+00
1.966178e+00 1.966178e+00 1.966178e+00
3.726596e-02 3.726596e-02 3.726596e-02
3.552318e-02 3.552318e-02 3.552318e-02
3.552452e-02 3.552451e-02 3.552451e-02
6.263199e-02 6.263199e-02 6.263199e-02
7.633331e-02 7.633331e-02 7.633331e-02
9.876618e-02 9.876618e-02 9.876618e-02
1.205621e-01 1.205621e-01 1.205621e-01
1.571219e-01 1.571219e-01 1.571219e-01
1.972853e-01 1.972853e-01 1.972853e-01
2.454934e-01 2.454934e-01 2.454934e-01
3.518522e-01 3.518522e-01 3.518522e-01
4.879771e-01 4.879771e-01 4.879771e-01
7.267335e-01 7.267329e-01 7.267329e-01
1.014365e+00 1.014365e+00 1.014365e+00
1.652703e+00 1.652703e+00 1.652703e+00
