#?RADIANCE
dctimestep matrices/tutorial_room_3pm_sensors.vmx BSDF/blinds_20deg_Klems.xml matrices/tutorial_room_3pm_rein1.dmx weather/NY_cie_sun_03211000.skyvec
CAPDATE= 2019:08:14 20:05:13
GMT= 2019:08:14 18:05:13
NROWS=135
NCOLS=1
NCOMP=3
FORMAT=ascii

6.486018e-01 6.486018e-01 6.486018e-01
6.943452e-01 6.943452e-01 6.943452e-01
7.081558e-01 7.081558e-01 7.081558e-01
8.765172e-01 8.765172e-01 8.765172e-01
1.082268e+00 1.082268e+00 1.082268e+00
1.280513e+00 1.280513e+00 1.280513e+00
1.463934e+00 1.463934e+00 1.463934e+00
1.821484e+00 1.821484e+00 1.821484e+00
2.137769e+00 2.137769e+00 2.137769e+00
2.550540e+00 2.550540e+00 2.550540e+00
3.085944e+00 3.085944e+00 3.085944e+00
3.793063e+00 3.793063e+00 3.793063e+00
4.549084e+00 4.549084e+00 4.549084e+00
5.238703e+00 5.238703e+00 5.238703e+00
6.270409e+00 6.270409e+00 6.270409e+00
7.103998e-01 7.103998e-01 7.103998e-01
7.264938e-01 7.264938e-01 7.264938e-01
7.835500e-01 7.835500e-01 7.835500e-01
9.118467e-01 9.118467e-01 9.118467e-01
1.059761e+00 1.059761e+00 1.059761e+00
1.294851e+00 1.294851e+00 1.294851e+00
1.623033e+00 1.623033e+00 1.623033e+00
1.935605e+00 1.935605e+00 1.935605e+00
2.289907e+00 2.289907e+00 2.289907e+00
2.794855e+00 2.794855e+00 2.794855e+00
3.408652e+00 3.408652e+00 3.408652e+00
4.087244e+00 4.087244e+00 4.087244e+00
4.805508e+00 4.805508e+00 4.805508e+00
5.472130e+00 5.472130e+00 5.472130e+00
7.192694e+00 7.192694e+00 7.192694e+00
7.091848e-01 7.091848e-01 7.091848e-01
7.444566e-01 7.444566e-01 7.444566e-01
8.015321e-01 8.015321e-01 8.015321e-01
9.034430e-01 9.034430e-01 9.034430e-01
1.125049e+00 1.125049e+00 1.125049e+00
1.335525e+00 1.335525e+00 1.335525e+00
1.625107e+00 1.625107e+00 1.625107e+00
1.972326e+00 1.972326e+00 1.972326e+00
2.449637e+00 2.449637e+00 2.449637e+00
2.921057e+00 2.921057e+00 2.921057e+00
3.652853e+00 3.652853e+00 3.652853e+00
4.353617e+00 4.353617e+00 4.353617e+00
5.038660e+00 5.038660e+00 5.038660e+00
5.889629e+00 5.889629e+00 5.889629e+00
7.647825e+00 7.647825e+00 7.647825e+00
6.857289e-01 6.857289e-01 6.857289e-01
7.127240e-01 7.127240e-01 7.127240e-01
8.353392e-01 8.353392e-01 8.353392e-01
8.492184e-01 8.492184e-01 8.492184e-01
1.125641e+00 1.125641e+00 1.125641e+00
1.436965e+00 1.436965e+00 1.436965e+00
1.682326e+00 1.682326e+00 1.682326e+00
2.079195e+00 2.079195e+00 2.079195e+00
2.607772e+00 2.607772e+00 2.607772e+00
3.128279e+00 3.128279e+00 3.128279e+00
3.754067e+00 3.754067e+00 3.754067e+00
4.467519e+00 4.467519e+00 4.467519e+00
5.231164e+00 5.231164e+00 5.231164e+00
5.229232e+00 5.229232e+00 5.229232e+00
7.751115e+00 7.751115e+00 7.751115e+00
7.197648e-01 7.197648e-01 7.197648e-01
7.850733e-01 7.850733e-01 7.850733e-01
8.697968e-01 8.697968e-01 8.697968e-01
1.000070e+00 1.000070e+00 1.000070e+00
1.202909e+00 1.202909e+00 1.202909e+00
1.503313e+00 1.503313e+00 1.503313e+00
1.748263e+00 1.748263e+00 1.748263e+00
2.108125e+00 2.108125e+00 2.108125e+00
2.592528e+00 2.592528e+00 2.592528e+00
3.148796e+00 3.148796e+00 3.148796e+00
3.652369e+00 3.652369e+00 3.652369e+00
4.470901e+00 4.470901e+00 4.470901e+00
5.262846e+00 5.262846e+00 5.262846e+00
6.836898e+00 6.836898e+00 6.836898e+00
8.185077e+00 8.185077e+00 8.185077e+00
7.580643e-01 7.580643e-01 7.580643e-01
7.917548e-01 7.917548e-01 7.917548e-01
7.976355e-01 7.976355e-01 7.976355e-01
8.505160e-01 8.505160e-01 8.505160e-01
1.157609e+00 1.157609e+00 1.157609e+00
1.488255e+00 1.488255e+00 1.488255e+00
1.778171e+00 1.778171e+00 1.778171e+00
2.137570e+00 2.137570e+00 2.137570e+00
2.603113e+00 2.603113e+00 2.603113e+00
3.139599e+00 3.139599e+00 3.139599e+00
3.870230e+00 3.870230e+00 3.870230e+00
4.651092e+00 4.651092e+00 4.651092e+00
5.425137e+00 5.425137e+00 5.425137e+00
5.425533e+00 5.425533e+00 5.425533e+00
7.857444e+00 7.857444e+00 7.857444e+00
7.628147e-01 7.628147e-01 7.628147e-01
7.241446e-01 7.241446e-01 7.241446e-01
8.663715e-01 8.663715e-01 8.663715e-01
9.819965e-01 9.819965e-01 9.819965e-01
1.237890e+00 1.237890e+00 1.237890e+00
1.455735e+00 1.455735e+00 1.455735e+00
1.742269e+00 1.742269e+00 1.742269e+00
2.017785e+00 2.017785e+00 2.017785e+00
2.571602e+00 2.571602e+00 2.571602e+00
3.141604e+00 3.141604e+00 3.141604e+00
3.817832e+00 3.817832e+00 3.817832e+00
4.602128e+00 4.602128e+00 4.602128e+00
5.170795e+00 5.170795e+00 5.170795e+00
5.840096e+00 5.840096e+00 5.840096e+00
7.743236e+00 7.743236e+00 7.743236e+00
6.883524e-01 6.883524e-01 6.883524e-01
8.115930e-01 8.115930e-01 8.115930e-01
8.790702e-01 8.790702e-01 8.790702e-01
9.934184e-01 9.934184e-01 9.934184e-01
1.140261e+00 1.140261e+00 1.140261e+00
1.381845e+00 1.381845e+00 1.381845e+00
1.745064e+00 1.745064e+00 1.745064e+00
2.018625e+00 2.018625e+00 2.018625e+00
2.431425e+00 2.431425e+00 2.431425e+00
3.068492e+00 3.068492e+00 3.068492e+00
3.701709e+00 3.701709e+00 3.701709e+00
4.327970e+00 4.327970e+00 4.327970e+00
5.008912e+00 5.008912e+00 5.008912e+00
6.032732e+00 6.032732e+00 6.032732e+00
7.471024e+00 7.471024e+00 7.471024e+00
6.966070e-01 6.966070e-01 6.966070e-01
7.557650e-01 7.557650e-01 7.557650e-01
8.052635e-01 8.052635e-01 8.052635e-01
9.477378e-01 9.477378e-01 9.477378e-01
1.115323e+00 1.115323e+00 1.115323e+00
1.388613e+00 1.388613e+00 1.388613e+00
1.607525e+00 1.607525e+00 1.607525e+00
1.977930e+00 1.977930e+00 1.977930e+00
2.457661e+00 2.457661e+00 2.457661e+00
2.885087e+00 2.885087e+00 2.885087e+00
3.459489e+00 3.459489e+00 3.459489e+00
4.156110e+00 4.156110e+00 4.156110e+00
4.987457e+00 4.987457e+00 4.987457e+00
5.553008e+00 5.553008e+00 5.553008e+00
6.607787e+00 6.607787e+00 6.607787e+00
