#?RADIANCE
dctimestep matrices/tutorial_room_5pm_sensors.dvmx BSDF/blinds_20deg_Klems.xml matrices/tutorial_room_5pm_rein1.ddmx weather/NY_cie_sun_03211000_direct.skyvec
CAPDATE= 2019:08:16 12:02:30
GMT= 2019:08:16 10:02:30
NROWS=135
NCOLS=1
NCOMP=3
FORMAT=ascii

4.273017e-02 4.273017e-02 4.273017e-02
4.232563e-02 4.232563e-02 4.232563e-02
5.230741e-02 5.230741e-02 5.230741e-02
6.561655e-02 6.561655e-02 6.561655e-02
9.073462e-02 9.073462e-02 9.073462e-02
1.032322e-01 1.032322e-01 1.032322e-01
1.388951e-01 1.388951e-01 1.388951e-01
1.965698e-01 1.965698e-01 1.965698e-01
2.536532e-01 2.536532e-01 2.536532e-01
3.548137e-01 3.548137e-01 3.548137e-01
4.969762e-01 4.969762e-01 4.969762e-01
6.820231e-01 6.820231e-01 6.820231e-01
9.887329e-01 9.887329e-01 9.887329e-01
1.382381e+00 1.382381e+00 1.382381e+00
2.066647e+00 2.066647e+00 2.066647e+00
3.811868e-02 3.811868e-02 3.811868e-02
4.551263e-02 4.551263e-02 4.551263e-02
6.222386e-02 6.222386e-02 6.222386e-02
7.749885e-02 7.749885e-02 7.749885e-02
9.728198e-02 9.728198e-02 9.728198e-02
1.134899e-01 1.134899e-01 1.134899e-01
1.538111e-01 1.538111e-01 1.538111e-01
2.099018e-01 2.099018e-01 2.099018e-01
2.762200e-01 2.762200e-01 2.762200e-01
4.013417e-01 4.013417e-01 4.013417e-01
5.536015e-01 5.536015e-01 5.536015e-01
7.582992e-01 7.582992e-01 7.582992e-01
1.052346e+00 1.052346e+00 1.052346e+00
1.535519e+00 1.535519e+00 1.535519e+00
2.500511e+00 2.500511e+00 2.500511e+00
3.285285e-02 3.285285e-02 3.285285e-02
3.161642e-02 3.161642e-02 3.161642e-02
5.165979e-02 5.165979e-02 5.165979e-02
8.148198e-02 8.148198e-02 8.148198e-02
1.019118e-01 1.019118e-01 1.019118e-01
1.346634e-01 1.346634e-01 1.346634e-01
1.742336e-01 1.742336e-01 1.742336e-01
2.208892e-01 2.208892e-01 2.208892e-01
3.026487e-01 3.026487e-01 3.026487e-01
4.339765e-01 4.339765e-01 4.339765e-01
6.111974e-01 6.111974e-01 6.111974e-01
8.242642e-01 8.242642e-01 8.242642e-01
1.032417e+00 1.032417e+00 1.032417e+00
1.619564e+00 1.619564e+00 1.619564e+00
2.849060e+00 2.849060e+00 2.849060e+00
3.706997e-02 3.706997e-02 3.706997e-02
4.299628e-02 4.299628e-02 4.299628e-02
5.506337e-02 5.506337e-02 5.506337e-02
8.150938e-02 8.150938e-02 8.150938e-02
1.105148e-01 1.105148e-01 1.105148e-01
1.299985e-01 1.299985e-01 1.299985e-01
1.755739e-01 1.755739e-01 1.755739e-01
2.350007e-01 2.350007e-01 2.350007e-01
3.223644e-01 3.223644e-01 3.223644e-01
4.419204e-01 4.419204e-01 4.419204e-01
6.227883e-01 6.227883e-01 6.227883e-01
8.818764e-01 8.818764e-01 8.818764e-01
1.144717e+00 1.144717e+00 1.144717e+00
1.526166e+00 1.526166e+00 1.526166e+00
2.968527e+00 2.968527e+00 2.968527e+00
4.232322e-02 4.232322e-02 4.232322e-02
5.096886e-02 5.096886e-02 5.096886e-02
7.129952e-02 7.129952e-02 7.129952e-02
8.405923e-02 8.405923e-02 8.405923e-02
1.084340e-01 1.084340e-01 1.084340e-01
1.342367e-01 1.342367e-01 1.342367e-01
1.724515e-01 1.724515e-01 1.724515e-01
2.399391e-01 2.399391e-01 2.399391e-01
3.162561e-01 3.162561e-01 3.162561e-01
4.507677e-01 4.507677e-01 4.507677e-01
6.436564e-01 6.436564e-01 6.436564e-01
8.579666e-01 8.579666e-01 8.579666e-01
1.062804e+00 1.062804e+00 1.062804e+00
1.993039e+00 1.993039e+00 1.993039e+00
2.995111e+00 2.995111e+00 2.995111e+00
3.661824e-02 3.661824e-02 3.661824e-02
3.665144e-02 3.665144e-02 3.665144e-02
5.282344e-02 5.282344e-02 5.282344e-02
7.645982e-02 7.645982e-02 7.645982e-02
1.040613e-01 1.040613e-01 1.040613e-01
1.297954e-01 1.297954e-01 1.297954e-01
1.718971e-01 1.718971e-01 1.718971e-01
2.396804e-01 2.396804e-01 2.396804e-01
3.164914e-01 3.164914e-01 3.164914e-01
4.607269e-01 4.607269e-01 4.607269e-01
6.709410e-01 6.709410e-01 6.709410e-01
9.230773e-01 9.230773e-01 9.230773e-01
1.248201e+00 1.248201e+00 1.248201e+00
1.574307e+00 1.574307e+00 1.574307e+00
2.958294e+00 2.958294e+00 2.958294e+00
3.601634e-02 3.601634e-02 3.601634e-02
3.478087e-02 3.478087e-02 3.478087e-02
5.156679e-02 5.156679e-02 5.156679e-02
8.643689e-02 8.643689e-02 8.643689e-02
1.008658e-01 1.008658e-01 1.008658e-01
1.259394e-01 1.259394e-01 1.259394e-01
1.632855e-01 1.632855e-01 1.632855e-01
2.171340e-01 2.171340e-01 2.171340e-01
3.199511e-01 3.199511e-01 3.199511e-01
4.480256e-01 4.480256e-01 4.480256e-01
6.574974e-01 6.574974e-01 6.574974e-01
9.817404e-01 9.817404e-01 9.817404e-01
1.153196e+00 1.153196e+00 1.153196e+00
1.597758e+00 1.597758e+00 1.597758e+00
2.865620e+00 2.865620e+00 2.865620e+00
3.707055e-02 3.707055e-02 3.707055e-02
5.070048e-02 5.070048e-02 5.070048e-02
5.909687e-02 5.909687e-02 5.909687e-02
8.604569e-02 8.604569e-02 8.604569e-02
9.895414e-02 9.895414e-02 9.895414e-02
1.211942e-01 1.211942e-01 1.211942e-01
1.642880e-01 1.642880e-01 1.642880e-01
2.049565e-01 2.049565e-01 2.049565e-01
3.015385e-01 3.015385e-01 3.015385e-01
4.378586e-01 4.378586e-01 4.378586e-01
6.693801e-01 6.693801e-01 6.693801e-01
8.765888e-01 8.765888e-01 8.765888e-01
1.079080e+00 1.079080e+00 1.079080e+00
1.702970e+00 1.702970e+00 1.702970e+00
2.660159e+00 2.660159e+00 2.660159e+00
4.338574e-02 4.338574e-02 4.338574e-02
4.770808e-02 4.770808e-02 4.770808e-02
4.481089e-02 4.481089e-02 4.481089e-02
7.283968e-02 7.283968e-02 7.283968e-02
9.220099e-02 9.220099e-02 9.220099e-02
1.082800e-01 1.082800e-01 1.082800e-01
1.491752e-01 1.491752e-01 1.491752e-01
1.942542e-01 1.942542e-01 1.942542e-01
2.972440e-01 2.972440e-01 2.972440e-01
4.042167e-01 4.042167e-01 4.042167e-01
6.110498e-01 6.110498e-01 6.110498e-01
8.399006e-01 8.399006e-01 8.399006e-01
1.172629e+00 1.172629e+00 1.172629e+00
1.484693e+00 1.484693e+00 1.484693e+00
2.233652e+00 2.233652e+00 2.233652e+00
